superkingdom,kingdom,phylum,class,order,family,genus,species,n_mitogenome,ids_mitogenome,n_target,ids_target,species_id,tax_query
Eukaryota_2759,Metazoa_33208,Arthropoda_6656,Malacostraca_6681,Decapoda_6683,Carcinidae_1343471,Carcinus_6758,Carcinus maenas_6759,1,2915720482,803,2868138074|2868138028|2868138026|2868134171|2868134169|2868134167|2868133979|2656475250|2645983299|2645983296|2428836351|1384344360|2001773814|2001773811|2001773808|2001773805|2001773802|2001773798|2001773794|2001773790|2001773787|2001773784|2001773781|2001773778|2001773775|2001773772|2001773768|2001773766|2001773763|2001773760|2001773757|2001773753|2001773750|2001773746|2001773743|2001773740|2001773737|2001773734|2001773731|2001773728|2001773725|2001773722|2001773719|1827949970|1847610937|1847610934|1847610931|1847610928|1847610926|1847610923|1847610920|1847610918|1847610915|1847610912|1847610909|1847610906|1847610903|1847610901|1847610898|1847610895|1847610893|1847610890|1847610887|1847610884|1847610881|1847610878|1847610875|1847610872|1847610869|1847610867|1847610864|1847610861|1847610858|1847610855|1898542779|1732262505|1769324477|1769324462|1769324457|1706882203|1706882201|1706882199|1706882197|1706882195|1706882193|1706882191|1706882189|1706882187|1706882185|1706882183|1706882181|1706882179|1706882177|1706882175|1706882173|1706882171|1706882169|1706882167|1706882165|1706882163|1706882161|1706882159|1706882157|1706882155|1706882153|1706882151|1706882149|1706882147|1706882145|1706882143|1706882141|1706882139|1706882137|1706882135|1706882133|1706882131|1706882129|1706882127|1706882125|1706882123|1706882121|1706882119|1706882117|1706882115|1706882113|1706882111|1706882109|1706882107|1706882105|1706882103|1706882101|1706882099|1706882097|1706882095|1706882093|1706882091|1706882089|1706882087|1706882085|1706882083|1706882081|1706882079|1706882077|1706882075|1706882073|1706882071|1706882069|1706882067|1706882065|1706882063|1706882061|1706882059|1706882057|1706882055|1706882053|1706882051|1706882049|1706882047|1706882045|1706882043|1706882041|1706882039|1706882037|1706882035|1706882033|1706882031|1706882029|1706882027|1706882025|1706882023|1706882021|1706882019|1706882017|1706882015|1706882013|1706882011|1706882009|1706882007|1706882005|1706882003|1706882001|1706881999|1706881997|1706881995|1706881993|1706881991|1706881989|1706881987|1706881985|1706881983|1706881981|1706881979|1706881977|1706881975|1706881973|1706881971|1706881969|1706881967|1706881965|1706881963|1706881961|1706881959|1706881957|1706881955|1706881953|1706881951|1706881949|1706881947|1706881945|1706881943|1706881941|1706881939|1706881937|1706881935|1706881933|1706881931|1706881929|1706881927|1706881925|1706881923|1706881921|1706881919|1706881917|1706881915|1706881913|1706881911|1706881909|1706881907|1706881905|1706881903|1706881901|1706881899|1706881897|1706881895|1706881893|1706881891|1706881889|1706881887|1706881885|1706881883|1706881881|1706881879|1706881877|1706881875|1706881873|1706881871|1706881869|1706881867|1706881865|1706881863|1706881861|1706881859|1706881857|1706881855|1706881853|1706881851|1706881849|1706881847|1706881845|1706881843|1706881841|1706881839|1706881837|1706881835|1706881833|1706881831|1706881829|1706881827|1706881825|1706881823|1706881821|1706881819|1706881817|1706881815|1706881813|1706881811|1706881809|1706881807|1706881805|1706881803|1706881801|1706881799|1706881797|1706881795|1706881793|1706881791|1706881789|1706881787|1706881785|1706881783|1706881781|1706881779|1706881777|1706881775|1706881773|1706881771|1706881769|1706881767|1706881765|1706881763|1706881761|1706881759|1706881757|1706881755|1706881753|1706881751|1706881749|1706881747|1706881745|1706881743|1706881741|1706881739|1706881737|1706881735|1706881733|1706881731|1706881729|1706881727|1706881725|1706881723|1706881721|1706881719|1706881717|1706881715|1706881713|1706881711|1706881709|1706881707|1706881705|1706881703|1563835458|1430075492|1430075145|89501097|89501063|89501018|89501017|89500931|89500628|89500422|58833935|58833882|58833880|58833835|58833834|84408818|84407842|83280543|83280484|83280370|83279538|80465890|80465643|77991549|76596616|76596324|62428455|60102100|60101918|1524233206|1524233204|1524233186|1524233184|1465190190|1465189288|1210333288|1210333286|1210333284|1210333282|1210333280|1210333278|1210333276|1210333274|1210333272|1210333270|1210333268|1210333266|1210333264|1210333262|1210333260|1210333258|1210333256|1210333254|1210333252|1210333250|1210333248|1210333246|1210333244|1210333242|1210333240|1210333238|1210333236|1210333234|1210333232|1210333230|1210333228|1210333226|1210333224|1210333222|1210333220|1210333218|1210333216|1210333214|1210333212|1210333210|1210333208|1210333206|1210333204|1210333202|1210333200|1210333198|1210333196|1210333194|1210333192|1210333190|1210333188|1210333186|1210333184|1210333182|1210333180|1210333178|1210333176|1210333174|1210333172|1210333170|1210333168|1210333166|1210333164|1210333162|1210333160|1210333158|1210333156|1210333154|1210333152|1210333150|1210333148|1210333146|1210333144|1210333142|1210333140|1210333138|1210333136|1210333134|1210333132|1210333130|1210333128|1210333126|1210333124|1210333122|1210333120|1210333118|1210333116|1210333114|1210333112|1210333110|1210333108|1210333106|1210333104|1210333102|1210333100|1210333098|1210333096|1210333094|1210333092|1210333090|1210333088|1210333086|1210333084|1210333082|1210333080|1210333078|1210333076|1210333074|1210333072|1210333070|1210333068|1210333066|1210333064|1210333062|1210333060|1210333058|1210333056|1210333054|1210333052|1210333050|1210333048|1210333046|1210333044|1210333042|1210333040|1210333038|1210333036|1210333034|1210333032|1210333030|1210333028|1210333026|1210333024|1210333022|1210333020|1210333018|1210333016|1210333014|1210333012|1210333010|1210333008|1210333006|1210333004|1210333002|1210333000|1210332998|1210332996|1210332994|1210332992|1210332990|1210332988|1210332986|1210332984|1210332982|1210332980|1210332978|1210332976|1210332974|1210332972|1210332970|1210332968|1210332966|1210332964|1210332962|1210332960|1210332958|1210332956|1210332954|1210332952|1210332950|1210332948|1210332946|1210332944|1210332942|1210332940|1210332938|1210332936|1210332934|1210332932|1210332930|1210332928|1210332926|1210332924|1210332922|1210332920|1210332918|1210332916|1210332914|1210332912|1210332910|1210332908|1210332906|1210332904|1210332902|1210332900|1210332898|1210332896|1210332894|1210332892|1210332890|1210332888|1210332886|1210332884|1210332882|1210332880|1210332878|1210332876|1210332874|1210332872|1210332870|1210332868|1210332866|1210332864|1210332862|1210332860|1210332858|1210332856|1210332854|1210332852|1210332850|1210332848|1210332846|1210332844|1210332842|1210332840|1210332838|1210332836|1210332834|1210332832|1210332830|1210332828|1210332826|1210332824|1210332822|1210332820|1210332818|1210332816|1210332814|1210332812|1210332810|1210332808|1210332806|1210332804|1210332802|1210332800|1210332798|1210332796|1210332794|1210332792|1210332790|1210332788|1210332786|1210332784|1210332782|1210332780|1210332778|1210332776|1210332774|1210332772|1210332770|1210332768|1210332766|1189445152|1189398870|168202867|1050201301|1050201299|367056881|367056879|367056761|367056759|367056757|47933709|47933707|47933705|47933703|47933701|47933699|47933697|47933695|319976666|319976664|319976662|319976660|319976658|319976656|319976654|319976652|319976650|319976648|319976646|319976644|319976642|319976640|319976638|319976636|319976634|319976632|319976630|319976628|319976626|319976624|319976622|319976620|319976618|319976616|319976614|319976612|319976610|319976608|319976606|319976604|319976602|319976600|319976598|319976596|319976594|319976592|319976590|319976588|319976586|319976584|220029967|220029965|220029963|220029961|220029959|220029957|107123528|107123506|107123484|107123464|107123439|959315773|959315771|959315769|959315767|959315765|936254406|936254330|936254110|936254094|936253976|936253902|936253214|936253030|936252928|936252380|936252216|694188382|694188380|564282517|567321181|567321179|567321177|567321175|567321173|567321171|204462680|204462678|204462676|204462674|204462672|204462670|204462668|204462666|204462664|204462662|204462660|204462658|204462656|204462654|204462652|204462650|204462648|204462646|204462644|204462642|204462640|204462638|204462636|204462634|204462632|204462630|204462628|204462626|204462624|204462622|204462620|204462618|204462616|204462614|204462612|204462610|204462608|204462606|204462604|204462602|204462600|204462598|204462596|204462594|204462592|204462590|204462588|204462586|204462584|204462582|204462580|204462578|204462576|204462574|204462572|204462570|204462568|204462566|204462564|204462562|204462560|204462558|204462556|204462554|204462552|204462550|204462548|204462546|204462544|204462542|204462540|204462538|204462536|204462534|204462532|204462530|204462528|204462526|219938543|219938542,,
Eukaryota_2759,Metazoa_33208,Nemertea_6217,Enopla_6225,Monostilifera_6227,Carcinonemertidae_187612,Carcinonemertes_187615,Carcinonemertes carcinophila_947576,0,,1,321172199,,
Eukaryota_2759,Fungi_4751,Basidiomycota_5204,Tremellomycetes_155616,Tremellales_5234,Carcinomycetaceae_1905117,Carcinomyces_1905118,Carcinomyces arundinariae_209780,0,,0,,,
Eukaryota_2759,Metazoa_33208,Nematoda_6231,Chromadorea_119089,Rhabditida_6236,Panagrolaimomorpha_2082223,Strongyloidoidea_2082224,Rhabdias luzonensis_3400572,clade representative,,clade representative,2915153481,3400572,txid3400572
Eukaryota_2759,Metazoa_33208,Nematoda_6231,Chromadorea_119089,Rhabditida_6236,Spiruromorpha_2072716,Spiruroidea_214002,Spirura rytipleurites_3015222,clade representative,,clade representative,2415605567,3015222,txid3015222
Eukaryota_2759,Metazoa_33208,Nematoda_6231,Chromadorea_119089,Rhabditida_6236,Tylenchomorpha_33283,Sphaerularioidea_312687,Fergusobia fisheri_3453822,clade representative,,clade representative,3034146731,3453822,txid3453822
Eukaryota_2759,Metazoa_33208,Arthropoda_6656,Chilopoda_7540,Geophilomorpha_60154,Epimorpha_115407,Geophilomorpha_60154,Strigamia sp._3118689,clade representative,,clade representative,2667916010,3118689,txid3118689
Eukaryota_2759,Metazoa_33208,Arthropoda_6656,Chilopoda_7540,Geophilomorpha_60154,Epimorpha_115407,Geophilomorpha_60154,Mecistocephalus sp. DNA11_2813089,clade representative,,clade representative,1988255720,2813089,txid2813089
Eukaryota_2759,Metazoa_33208,Arthropoda_6656,Chilopoda_7540,Geophilomorpha_60154,Epimorpha_115407,Geophilomorpha_60154,Strigamia acuminata_1255758,clade representative,,clade representative,342737807,1255758,txid1255758
Eukaryota_2759,Metazoa_33208,Arthropoda_6656,Insecta_50557,Coleoptera_7041,Staphyliniformia_41085,Leiodidae_66535,Perriniella bonvouloiri_3387198,clade representative,,clade representative,2870944818,3387198,txid3387198
Eukaryota_2759,Metazoa_33208,Arthropoda_6656,Insecta_50557,Coleoptera_7041,Elateriformia_41087,Lampyridae_7049,Lucidota sp._3453342,clade representative,,clade representative,3033171420,3453342,txid3453342
Eukaryota_2759,Metazoa_33208,Arthropoda_6656,Insecta_50557,Coleoptera_7041,Staphyliniformia_41085,Leiodidae_66535,Quaestus variabilis_3386824,clade representative,,clade representative,2870944633,3386824,txid3386824
Eukaryota_2759,Viridiplantae_33090,Streptophyta_35493,Bryopsida_3214,Bryales_3226,Bryanae_404297,Bryales_3226,Mielichhoferia elongata_67235,clade representative,1347725881,clade representative,,67235,txid67235
Eukaryota_2759,Metazoa_33208,Xenacoelomorpha_1312402,character(0)_character(0),Acoela_31265,Acoelomorpha_147099,Acoela_31265,Philactinoposthia coneyi_996668,clade representative,,clade representative,378781168,996668,txid996668
Eukaryota_2759,Metazoa_33208,Xenacoelomorpha_1312402,character(0)_character(0),Acoela_31265,Acoelomorpha_147099,,Convolutidae sp. 18_4aID_2664306,clade representative,,clade representative,1772430565,2664306,txid2664306
Eukaryota_2759,Metazoa_33208,Xenacoelomorpha_1312402,character(0)_character(0),Acoela_31265,Acoelomorpha_147099,,Convolutidae sp. 140JP_2605115,clade representative,,clade representative,1772430451,2605115,txid2605115
Eukaryota_2759,Metazoa_33208,Arthropoda_6656,Malacostraca_6681,Stomatopoda_75390,Unipeltata_77689,Squilloidea_84347,Busquilla sp. Busq_40B_2917040,clade representative,,clade representative,2191865840,2917040,txid2917040
Eukaryota_2759,Metazoa_33208,Arthropoda_6656,Malacostraca_6681,Stomatopoda_75390,Unipeltata_77689,Gonodactyloidea_77690,Gonodactylus sp. SIO BIC C12730_2867084,clade representative,2165128115,clade representative,,2867084,txid2867084
Eukaryota_2759,Metazoa_33208,Arthropoda_6656,Malacostraca_6681,Stomatopoda_75390,Unipeltata_77689,Gonodactyloidea_77690,Gonodactylellus sp. SIO BIC C12514_2867083,clade representative,2165128143,clade representative,,2867083,txid2867083
